
      AG_NEWS    DBpedia    YahooAnswers    20News    ohsumed    R8     R52
----  ---------  ---------  --------------  --------  ---------  -----  -----
knn1  0.876      0.942      0.485           0.607     0.365      0.913  0.852
top2  0.937      0.970      0.622           0.685     0.481      0.952  0.889


      filipino    kirnews    kinnews    swahili    SogouNews
----  ----------  ---------  ---------  ---------  -----------
knn1  0.999       0.858      0.835      0.850      0.951
top2  1.000       0.906      0.891      0.927      0.973


AG_NEWS
k    decr    rand
---  ------  ------
1    0.876   0.876
2    0.876   0.863
3    0.891   0.888
4    0.892   0.889
5    0.895   0.889
11   0.896   0.893
21   0.896   0.889
35   0.898   0.883
51   0.898   0.878


DBpedia
k    decr    rand
---  ------  ------
1    0.942   0.942
2    0.942   0.936
3    0.952   0.950
4    0.953   0.952
5    0.955   0.952
11   0.955   0.954
21   0.955   0.951
35   0.955   0.948
51   0.956   0.945


YahooAnswers
k    decr    rand
---  ------  ------
1    0.485   0.485
2    0.485   0.465
3    0.516   0.502
4    0.534   0.524
5    0.546   0.531
11   0.550   0.553
21   0.554   0.568
35   0.559   0.575
51   0.563   0.578


20News
k    decr    rand
---  ------  ------
1    0.607   0.607
2    0.607   0.563
3    0.607   0.572
4    0.607   0.575
5    0.604   0.572
11   0.599   0.561
21   0.595   0.554
35   0.595   0.550
51   0.594   0.546


ohsumed
k    decr    rand
---  ------  ------
1    0.365   0.365
2    0.365   0.330
3    0.381   0.347
4    0.391   0.368
5    0.393   0.371
11   0.392   0.377
21   0.396   0.378
35   0.400   0.369
51   0.403   0.358


R8
k    decr    rand
---  ------  ------
1    0.913   0.913
2    0.913   0.904
3    0.921   0.921
4    0.926   0.924
5    0.929   0.923
11   0.925   0.922
21   0.926   0.914
35   0.925   0.900
51   0.924   0.880


R52
k    decr    rand
---  ------  ------
1    0.852   0.852
2    0.852   0.830
3    0.861   0.847
4    0.856   0.846
5    0.855   0.845
11   0.856   0.833
21   0.851   0.820
35   0.849   0.802
51   0.843   0.788


filipino
k    decr    rand
---  ------  ------
1    0.999   0.999
2    0.999   0.851
3    0.904   0.849
4    0.854   0.828
5    0.835   0.809
11   0.827   0.779
21   0.813   0.762
35   0.808   0.745
51   0.800   0.732


kirnews
k    decr    rand
---  ------  ------
1    0.858   0.858
2    0.858   0.814
3    0.794   0.792
4    0.785   0.780
5    0.807   0.810
11   0.806   0.782
21   0.797   0.776
35   0.791   0.762
51   0.788   0.757


kinnews
k    decr    rand
---  ------  ------
1    0.835   0.835
2    0.835   0.822
3    0.843   0.837
4    0.842   0.833
5    0.837   0.828
11   0.832   0.820
21   0.833   0.801
35   0.830   0.779
51   0.827   0.755


swahili
k    decr    rand
---  ------  ------
1    0.850   0.850
2    0.850   0.843
3    0.883   0.880
4    0.885   0.882
5    0.887   0.884
11   0.887   0.888
21   0.890   0.885
35   0.890   0.878
51   0.890   0.874


SogouNews
k    decr    rand
---  ------  ------
1    0.951   0.951
2    0.951   0.946
3    0.957   0.955
4    0.957   0.956
5    0.958   0.956
11   0.958   0.955
21   0.957   0.952
35   0.957   0.948
51   0.957   0.945

